,dataset,predicted_iou,stability_score
0,Bodleian Library,0.9154280205369844,0.9629857490954664
1,Ryhiner-Sammlung,0.9291511217347146,0.9647349685558082
2,Bibliotheque Nationale de France,0.9182959476661388,0.9644716280545327
3,Biblioteca Digital Hispanica,0.9212075751117121,0.9642660320085505
4,John Carter Brown Library,0.920698510851907,0.9655835092769972
5,Beinecke Library,0.9227620025329799,0.9653034559046517
6,David Rumsey,0.9172982237040024,0.9665426682028624
7,New York Public Library,0.9127471664261847,0.9655549393317244
8,Library Of Congress,0.9220599946521577,0.9643358983986434
9,Royal Museums Greenwich,0.9203848481599309,0.9647256705026599
10,Boston Public Library,0.9229115043233226,0.9657481421844979
